Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,County,District,Ward,District Code,Ward Code,Country,County Code,Constituency,Introduced,Terminated,Parish,National Park,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code,Local authority,MSOA Code,Middle layer super output area,Parish Code,Census output area,Constituency Code,Index of Multiple Deprivation,Quality,User Type,Last updated,Nearest station,Distance to station,Postcode area,Postcode district,Police force,Water company,Plus Code,Average Income,Sewage Company,Travel To Work Area,ITL level 2,ITL level 3
OX1 1AP,Yes,51.750236,-1.267348,450674,205981,SP506059,"Oxfordshire","Oxford","Osney & St Thomas",E07000178,E05013111,England,E10000025,"Oxford East",2021-03-01,,"Oxford, unparished area","",,,"Oxford","Oxford","Oxford 008B","Urban city and town",South East,60,,E01028522,Oxfordshire,E02005947,"Oxford Central",E43000128,E00172573,E14000873,5004,1,1,2021-09-22,"Oxford",0.410488,OX,OX1,"Thames Valley","",9C3WQP2M+33,36100,"","Oxford","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC"
OX1 1AQ,No,51.751244,-1.256819,451400,206100,SP513061,"Oxfordshire","Oxford","Holywell",E07000178,E05013106,England,E10000025,"Oxford East",1987-10-01,1994-05-01,"Oxford, unparished area","",,,"Oxford","Oxford","Oxford 008B","Urban city and town",South East,69,,E01028522,Oxfordshire,E02005947,"Oxford Central",E43000128,E00145417,E14000873,5004,8,1,2021-09-22,"Oxford",0.950815,OX,OX1,"Thames Valley","",9C3WQP2V+F7,36100,"","Oxford","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC"
OX1 1AR,No,51.759417,-1.269725,450500,207000,SP504070,"Oxfordshire","Oxford","Carfax & Jericho",E07000178,E05013098,England,E10000025,"Oxford West and Abingdon",1995-01-01,1995-12-01,"Oxford, unparished area","",,,"Oxford","Oxford","Oxford 009C","Urban city and town",South East,60,,E01028550,Oxfordshire,E02005948,"Osney, Jericho & Port Meadow",E43000128,E00145449,E14000874,19598,8,1,2021-09-22,"Oxford",0.658564,OX,OX1,"Thames Valley","",9C3WQP5J+Q4,58500,"","Oxford","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC"
OX1 1AS,No,51.750231,-1.267367,450673,205980,SP506059,"Oxfordshire","Oxford","Osney & St Thomas",E07000178,E05013111,England,E10000025,"Oxford East",1987-04-01,2019-02-01,"Oxford, unparished area","",,,"Oxford","Oxford","Oxford 008B","Urban city and town",South East,59,,E01028522,Oxfordshire,E02005947,"Oxford Central",E43000128,E00172573,E14000873,5004,1,1,2021-09-22,"Oxford",0.410366,OX,OX1,"Thames Valley","",9C3WQP2M+33,36100,"","Oxford","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC"
OX1 1AT,No,51.749826,-1.261492,451079,205939,SP510059,"Oxfordshire","Oxford","Osney & St Thomas",E07000178,E05013111,England,E10000025,"Oxford East",1995-07-01,1998-12-01,"Oxford, unparished area","",,,"Oxford","Oxford","Oxford 008B","Urban city and town",South East,63,,E01028522,Oxfordshire,E02005947,"Oxford Central",E43000128,E00145307,E14000873,5004,6,1,2021-09-22,"Oxford",0.722054,OX,OX1,"Thames Valley","",9C3WPPXQ+WC,36100,"","Oxford","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC"
OX1 1AU,No,51.751262,-1.259716,451200,206100,SP511060,"Oxfordshire","Oxford","Osney & St Thomas",E07000178,E05013111,England,E10000025,"Oxford East",1995-07-01,1996-06-01,"Oxford, unparished area","",,,"Oxford","Oxford","Oxford 008A","Urban city and town",South East,73,,E01028521,Oxfordshire,E02005947,"Oxford Central",E43000128,E00145303,E14000873,21643,8,1,2021-09-22,"Oxford",0.759714,OX,OX1,"Thames Valley","",9C3WQP2R+G4,36100,"","Oxford","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC"
OX1 1AW,Yes,51.748783,-1.258742,451270,205825,SP512058,"Oxfordshire","Oxford","Osney & St Thomas",E07000178,E05013111,England,E10000025,"Oxford East",2008-09-01,,"Oxford, unparished area","",27,14,"Oxford","Oxford","Oxford 008B","Urban city and town",South East,61,,E01028522,Oxfordshire,E02005947,"Oxford Central",E43000128,E00145308,E14000873,5004,1,0,2021-09-22,"Oxford",0.9437,OX,OX1,"Thames Valley","Thames Water",9C3WPPXR+GG,36100,"","Oxford","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC"
OX1 1AX,No,51.749826,-1.261492,451079,205939,SP510059,"Oxfordshire","Oxford","Osney & St Thomas",E07000178,E05013111,England,E10000025,"Oxford East",1995-07-01,2000-06-01,"Oxford, unparished area","",,,"Oxford","Oxford","Oxford 008B","Urban city and town",South East,63,,E01028522,Oxfordshire,E02005947,"Oxford Central",E43000128,E00145307,E14000873,5004,6,1,2021-09-22,"Oxford",0.722054,OX,OX1,"Thames Valley","",9C3WPPXQ+WC,36100,"","Oxford","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC"
OX1 1AY,Yes,51.751120,-1.261989,451043,206083,SP510060,"Oxfordshire","Oxford","Osney & St Thomas",E07000178,E05013111,England,E10000025,"Oxford East",2005-09-01,,"Oxford, unparished area","",97,24,"Oxford","Oxford","Oxford 008A","Urban city and town",South East,66,,E01028521,Oxfordshire,E02005947,"Oxford Central",E43000128,E00172575,E14000873,21643,1,0,2021-09-22,"Oxford",0.620618,OX,OX1,"Thames Valley","Thames Water",9C3WQP2Q+C6,36100,"","Oxford","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC"
OX1 1AZ,Yes,51.751951,-1.263514,450937,206174,SP509061,"Oxfordshire","Oxford","Osney & St Thomas",E07000178,E05013111,England,E10000025,"Oxford East",2005-09-01,,"Oxford, unparished area","",9,5,"Oxford","Oxford","Oxford 008A","Urban city and town",South East,62,,E01028521,Oxfordshire,E02005947,"Oxford Central",E43000128,E00172575,E14000873,21643,1,0,2021-09-22,"Oxford",0.487944,OX,OX1,"Thames Valley","Thames Water",9C3WQP2P+QH,36100,"","Oxford","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC"
OX1 1BA,No,51.750879,-1.264546,450867,206054,SP508060,"Oxfordshire","Oxford","Osney & St Thomas",E07000178,E05013111,England,E10000025,"Oxford East",1980-01-01,2002-04-01,"Oxford, unparished area","",,,"Oxford","Oxford","Oxford 008B","Urban city and town",South East,60,,E01028522,Oxfordshire,E02005947,"Oxford Central",E43000128,E00175318,E14000873,5004,1,1,2021-09-22,"Oxford",0.4831,OX,OX1,"Thames Valley","Thames Water",9C3WQP2P+95,36100,"","Oxford","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC"
OX1 1BB,No,51.750513,-1.262162,451032,206015,SP510060,"Oxfordshire","Oxford","Osney & St Thomas",E07000178,E05013111,England,E10000025,"Oxford East",1995-12-01,2004-01-01,"Oxford, unparished area","",,,"Oxford","Oxford","Oxford 008B","Urban city and town",South East,65,,E01028522,Oxfordshire,E02005947,"Oxford Central",E43000128,E00145307,E14000873,5004,1,1,2021-09-22,"Oxford",0.641962,OX,OX1,"Thames Valley","Thames Water",9C3WQP2Q+64,36100,"","Oxford","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC"
OX1 1BD,Yes,51.751483,-1.257626,451344,206126,SP513061,"Oxfordshire","Oxford","Osney & St Thomas",E07000178,E05013111,England,E10000025,"Oxford East",1990-07-01,,"Oxford, unparished area","",,,"Oxford","Oxford","Oxford 008A","Urban city and town",South East,71,,E01028521,Oxfordshire,E02005947,"Oxford Central",E43000128,E00145303,E14000873,21643,1,1,2021-09-22,"Oxford",0.890334,OX,OX1,"Thames Valley","Thames Water",9C3WQP2R+HW,36100,"","Oxford","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC"
OX1 1BE,No,51.750513,-1.262162,451032,206015,SP510060,"Oxfordshire","Oxford","Osney & St Thomas",E07000178,E05013111,England,E10000025,"Oxford East",2006-10-01,2019-09-01,"Oxford, unparished area","",,,"Oxford","Oxford","Oxford 008B","Urban city and town",South East,65,,E01028522,Oxfordshire,E02005947,"Oxford Central",E43000128,E00145307,E14000873,5004,1,1,2021-09-22,"Oxford",0.641962,OX,OX1,"Thames Valley","Thames Water",9C3WQP2Q+64,36100,"","Oxford","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC"
OX1 1BF,No,51.750231,-1.267367,450673,205980,SP506059,"Oxfordshire","Oxford","Osney & St Thomas",E07000178,E05013111,England,E10000025,"Oxford East",2001-12-01,2006-02-01,"Oxford, unparished area","",,,"Oxford","Oxford","Oxford 008B","Urban city and town",South East,59,,E01028522,Oxfordshire,E02005947,"Oxford Central",E43000128,E00172573,E14000873,5004,1,1,2021-09-22,"Oxford",0.410366,OX,OX1,"Thames Valley","",9C3WQP2M+33,36100,"","Oxford","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC"
OX1 1BG,No,51.750231,-1.267367,450673,205980,SP506059,"Oxfordshire","Oxford","Osney & St Thomas",E07000178,E05013111,England,E10000025,"Oxford East",1988-03-01,2006-02-01,"Oxford, unparished area","",,,"Oxford","Oxford","Oxford 008B","Urban city and town",South East,59,,E01028522,Oxfordshire,E02005947,"Oxford Central",E43000128,E00172573,E14000873,5004,1,1,2021-09-22,"Oxford",0.410366,OX,OX1,"Thames Valley","",9C3WQP2M+33,36100,"","Oxford","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC"
OX1 1BH,No,51.750363,-1.259731,451200,206000,SP511059,"Oxfordshire","Oxford","Osney & St Thomas",E07000178,E05013111,England,E10000025,"Oxford East",1992-08-01,1994-05-01,"Oxford, unparished area","",,,"Oxford","Oxford","Oxford 008A","Urban city and town",South East,69,,E01028521,Oxfordshire,E02005947,"Oxford Central",E43000128,E00145303,E14000873,21643,8,1,2021-09-22,"Oxford",0.797044,OX,OX1,"Thames Valley","",9C3WQP2R+44,36100,"","Oxford","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC"
OX1 1BJ,No,51.750363,-1.259731,451200,206000,SP511059,"Oxfordshire","Oxford","Osney & St Thomas",E07000178,E05013111,England,E10000025,"Oxford East",1990-02-01,1994-05-01,"Oxford, unparished area","",,,"Oxford","Oxford","Oxford 008A","Urban city and town",South East,69,,E01028521,Oxfordshire,E02005947,"Oxford Central",E43000128,E00145303,E14000873,21643,8,1,2021-09-22,"Oxford",0.797044,OX,OX1,"Thames Valley","",9C3WQP2R+44,36100,"","Oxford","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC"
OX1 1BL,No,51.750715,-1.258580,451279,206040,SP512060,"Oxfordshire","Oxford","Osney & St Thomas",E07000178,E05013111,England,E10000025,"Oxford East",1983-03-01,1998-06-01,"Oxford, unparished area","",,,"Oxford","Oxford","Oxford 008A","Urban city and town",South East,69,,E01028521,Oxfordshire,E02005947,"Oxford Central",E43000128,E00145303,E14000873,21643,8,1,2021-09-22,"Oxford",0.854033,OX,OX1,"Thames Valley","Thames Water",9C3WQP2R+7H,36100,"","Oxford","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC"
OX1 1BN,Yes,51.747848,-1.255904,451467,205723,SP514057,"Oxfordshire","Oxford","Holywell",E07000178,E05013106,England,E10000025,"Oxford East",1990-02-01,,"Oxford, unparished area","",,,"Oxford","Oxford","Oxford 008B","Urban city and town",South East,62,,E01028522,Oxfordshire,E02005947,"Oxford Central",E43000128,E00145417,E14000873,5004,1,0,2021-09-22,"Oxford",1.16398,OX,OX1,"Thames Valley","Thames Water",9C3WPPXV+4J,36100,"","Oxford","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC"
OX1 1BP,Yes,51.750558,-1.257917,451325,206023,SP513060,"Oxfordshire","Oxford","Osney & St Thomas",E07000178,E05013111,England,E10000025,"Oxford East",1980-01-01,,"Oxford, unparished area","",48,6,"Oxford","Oxford","Oxford 008A","Urban city and town",South East,68,,E01028521,Oxfordshire,E02005947,"Oxford Central",E43000128,E00145303,E14000873,21643,1,0,2021-09-22,"Oxford",0.902865,OX,OX1,"Thames Valley","Thames Water",9C3WQP2R+6R,36100,"","Oxford","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC"
OX1 1BQ,No,51.750363,-1.259731,451200,206000,SP511059,"Oxfordshire","Oxford","Osney & St Thomas",E07000178,E05013111,England,E10000025,"Oxford East",1988-03-01,1991-12-01,"Oxford, unparished area","",,,"Oxford","Oxford","Oxford 008A","Urban city and town",South East,69,,E01028521,Oxfordshire,E02005947,"Oxford Central",E43000128,E00145303,E14000873,21643,8,1,2021-09-22,"Oxford",0.797044,OX,OX1,"Thames Valley","",9C3WQP2R+44,36100,"","Oxford","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC"
OX1 1BS,Yes,51.751169,-1.256976,451389,206092,SP513060,"Oxfordshire","Oxford","Holywell",E07000178,E05013106,England,E10000025,"Oxford East",1980-01-01,,"Oxford, unparished area","",,,"Oxford","Oxford","Oxford 008B","Urban city and town",South East,69,,E01028522,Oxfordshire,E02005947,"Oxford Central",E43000128,E00145417,E14000873,5004,1,0,2021-09-22,"Oxford",0.942653,OX,OX1,"Thames Valley","Thames Water",9C3WQP2V+F6,36100,"","Oxford","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC"
OX1 1BT,Yes,51.750761,-1.257290,451368,206046,SP513060,"Oxfordshire","Oxford","Osney & St Thomas",E07000178,E05013111,England,E10000025,"Oxford East",1980-01-01,,"Oxford, unparished area","",2,1,"Oxford","Oxford","Oxford 008A","Urban city and town",South East,68,,E01028521,Oxfordshire,E02005947,"Oxford Central",E43000128,E00145303,E14000873,21643,1,0,2021-09-22,"Oxford",0.935635,OX,OX1,"Thames Valley","Thames Water",9C3WQP2V+83,36100,"","Oxford","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC"
OX1 1BU,Yes,51.751199,-1.257482,451354,206095,SP513060,"Oxfordshire","Oxford","Osney & St Thomas",E07000178,E05013111,England,E10000025,"Oxford East",1980-01-01,,"Oxford, unparished area","",,,"Oxford","Oxford","Oxford 008A","Urban city and town",South East,70,,E01028521,Oxfordshire,E02005947,"Oxford Central",E43000128,E00145303,E14000873,21643,1,0,2021-09-22,"Oxford",0.908288,OX,OX1,"Thames Valley","Thames Water",9C3WQP2V+F2,36100,"","Oxford","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC"
OX1 1BW,No,51.747648,-1.256878,451400,205700,SP513057,"Oxfordshire","Oxford","Osney & St Thomas",E07000178,E05013111,England,E10000025,"Oxford East",1990-02-01,1995-01-01,"Oxford, unparished area","",,,"Oxford","Oxford","Oxford 008B","Urban city and town",South East,61,,E01028522,Oxfordshire,E02005947,"Oxford Central",E43000128,E00145308,E14000873,5004,8,1,2021-09-22,"Oxford",1.12088,OX,OX1,"Thames Valley","",9C3WPPXV+36,36100,"","Oxford","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC"
OX1 1BX,Yes,51.751649,-1.256914,451393,206145,SP513061,"Oxfordshire","Oxford","Holywell",E07000178,E05013106,England,E10000025,"Oxford East",1980-01-01,,"Oxford, unparished area","",,,"Oxford","Oxford","Oxford 008B","Urban city and town",South East,70,,E01028522,Oxfordshire,E02005947,"Oxford Central",E43000128,E00145417,E14000873,5004,1,1,2021-09-22,"Oxford",0.933592,OX,OX1,"Thames Valley","Thames Water",9C3WQP2V+M6,36100,"","Oxford","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC"
OX1 1BY,Yes,51.752312,-1.263653,450927,206214,SP509062,"Oxfordshire","Oxford","Osney & St Thomas",E07000178,E05013111,England,E10000025,"Oxford East",2011-01-01,,"Oxford, unparished area","",,,"Oxford","Oxford","Oxford 008A","Urban city and town",South East,62,,E01028521,Oxfordshire,E02005947,"Oxford Central",E43000128,E00172575,E14000873,21643,1,0,2021-09-22,"Oxford",0.466131,OX,OX1,"Thames Valley","Thames Water",9C3WQP2P+WG,36100,"","Oxford","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC"
OX1 1BZ,Yes,51.751278,-1.270026,450488,206095,SP504060,"Oxfordshire","Oxford","Osney & St Thomas",E07000178,E05013111,England,E10000025,"Oxford West and Abingdon",2014-12-01,,"Oxford, unparished area","",,,"Oxford","Oxford","Oxford 009B","Urban city and town",South East,59,,E01028549,Oxfordshire,E02005948,"Osney, Jericho & Port Meadow",E43000128,E00145437,E14000874,23187,1,0,2021-09-22,"Oxford",0.246658,OX,OX1,"Thames Valley","Thames Water",9C3WQP2H+GX,58500,"","Oxford","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC"
OX1 1DA,Yes,51.750635,-1.257148,451378,206032,SP513060,"Oxfordshire","Oxford","Osney & St Thomas",E07000178,E05013111,England,E10000025,"Oxford East",1980-01-01,,"Oxford, unparished area","",,,"Oxford","Oxford","Oxford 008A","Urban city and town",South East,68,,E01028521,Oxfordshire,E02005947,"Oxford Central",E43000128,E00145303,E14000873,21643,1,0,2021-09-22,"Oxford",0.949477,OX,OX1,"Thames Valley","Thames Water",9C3WQP2V+74,36100,"","Oxford","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC"
OX1 1DB,Yes,51.748585,-1.255805,451473,205805,SP514058,"Oxfordshire","Oxford","Holywell",E07000178,E05013106,England,E10000025,"Oxford East",1982-03-01,,"Oxford, unparished area","",,,"Oxford","Oxford","Oxford 008B","Urban city and town",South East,62,,E01028522,Oxfordshire,E02005947,"Oxford Central",E43000128,E00145417,E14000873,5004,1,1,2021-09-22,"Oxford",1.12789,OX,OX1,"Thames Valley","Thames Water",9C3WPPXV+CM,36100,"","Oxford","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC"
OX1 1DD,No,51.750354,-1.258282,451300,206000,SP513060,"Oxfordshire","Oxford","Osney & St Thomas",E07000178,E05013111,England,E10000025,"Oxford East",1980-01-01,1995-01-01,"Oxford, unparished area","",,,"Oxford","Oxford","Oxford 008B","Urban city and town",South East,68,,E01028522,Oxfordshire,E02005947,"Oxford Central",E43000128,E00145308,E14000873,5004,8,1,2021-09-22,"Oxford",0.888169,OX,OX1,"Thames Valley","Thames Water",9C3WQP2R+4M,36100,"","Oxford","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC"
OX1 1DE,Yes,51.751814,-1.257346,451363,206163,SP513061,"Oxfordshire","Oxford","Holywell",E07000178,E05013106,England,E10000025,"Oxford East",2014-09-01,,"Oxford, unparished area","",,,"Oxford","Oxford","Oxford 008B","Urban city and town",South East,71,,E01028522,Oxfordshire,E02005947,"Oxford Central",E43000128,E00145417,E14000873,5004,1,0,2021-09-22,"Oxford",0.900641,OX,OX1,"Thames Valley","Thames Water",9C3WQP2V+P3,36100,"","Oxford","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC"
OX1 1DF,Yes,51.751356,-1.257556,451349,206112,SP513061,"Oxfordshire","Oxford","Osney & St Thomas",E07000178,E05013111,England,E10000025,"Oxford East",1980-01-01,,"Oxford, unparished area","",,,"Oxford","Oxford","Oxford 008A","Urban city and town",South East,70,,E01028521,Oxfordshire,E02005947,"Oxford Central",E43000128,E00145303,E14000873,21643,1,1,2021-09-22,"Oxford",0.898629,OX,OX1,"Thames Valley","Thames Water",9C3WQP2R+GX,36100,"","Oxford","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC"
OX1 1DG,Yes,51.747452,-1.255838,451472,205679,SP514056,"Oxfordshire","Oxford","Holywell",E07000178,E05013106,England,E10000025,"Oxford East",1981-09-01,,"Oxford, unparished area","",20,9,"Oxford","Oxford","Oxford 008B","Urban city and town",South East,62,,E01028522,Oxfordshire,E02005947,"Oxford Central",E43000128,E00145417,E14000873,5004,1,0,2021-09-22,"Oxford",1.19204,OX,OX1,"Thames Valley","Thames Water",9C3WPPWV+XM,36100,"","Oxford","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC"
OX1 1DH,No,51.749826,-1.261492,451079,205939,SP510059,"Oxfordshire","Oxford","Osney & St Thomas",E07000178,E05013111,England,E10000025,"Oxford East",1995-07-01,1999-06-01,"Oxford, unparished area","",,,"Oxford","Oxford","Oxford 008B","Urban city and town",South East,63,,E01028522,Oxfordshire,E02005947,"Oxford Central",E43000128,E00145307,E14000873,5004,6,1,2021-09-22,"Oxford",0.722054,OX,OX1,"Thames Valley","",9C3WPPXQ+WC,36100,"","Oxford","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC"
OX1 1DJ,Yes,51.751444,-1.260549,451142,206120,SP511061,"Oxfordshire","Oxford","Osney & St Thomas",E07000178,E05013111,England,E10000025,"Oxford East",2017-11-01,,"Oxford, unparished area","",,,"Oxford","Oxford","Oxford 008A","Urban city and town",South East,71,,E01028521,Oxfordshire,E02005947,"Oxford Central",E43000128,E00172575,E14000873,21643,1,1,2021-09-22,"Oxford",0.698948,OX,OX1,"Thames Valley","Thames Water",9C3WQP2Q+HQ,36100,"","Oxford","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC"
